n,BST,AVL,RBT
1000,1.2000000424450263e-06,1.3949999811302405e-05,1.7000002117129043e-06
1072,1.7999991541728377e-06,1.3999999282532372e-05,2.4000000848900527e-06
1149,1.4999986888142303e-06,1.1299998732283711e-05,1.9000017346115783e-06
1232,1.3000008038943633e-06,1.1100000847363845e-05,1.8999999156221747e-06
1321,1.2999989849049598e-06,1.1100000847363845e-05,1.99999976757681e-06
1417,1.7000002117129043e-06,1.120000069931848e-05,1.999998858082108e-06
1519,1.7000002117129043e-06,1.2700000297627412e-05,1.999998858082108e-06
1629,1.5000005078036338e-06,1.199999860546086e-05,1.999998858082108e-06
1747,1.6999993022182025e-06,1.2250000509084202e-05,2.0000006770715117e-06
1873,1.5000005078036338e-06,1.5100000382517464e-05,1.8999999156221747e-06
2009,1.4999986888142303e-06,1.3150000086170621e-05,1.9000017346115783e-06
2154,1.5000005078036338e-06,1.2000000424450263e-05,2.200000380980782e-06
2310,1.5999994502635673e-06,1.179999890155159e-05,1.999998858082108e-06
2477,2.599999788799323e-06,1.4749999536434188e-05,1.8000009731622413e-06
2656,1.8999999156221747e-06,1.2550000064948108e-05,1.999998858082108e-06
2848,2.2999993234407157e-06,1.5900000107649248e-05,2.200000380980782e-06
3053,1.8999999156221747e-06,1.2900000001536682e-05,2.099999619531445e-06
3274,2.0000006770715117e-06,1.3050000234215986e-05,2.849999873433262e-06
3511,1.99999976757681e-06,1.2900000001536682e-05,2.4000000848900527e-06
3764,1.8999999156221747e-06,1.7249999473278876e-05,2.599999788799323e-06
4037,2.200000380980782e-06,1.2900000001536682e-05,2.1999985619913787e-06
4328,1.7000002117129043e-06,1.3199998647905886e-05,2.2999993234407157e-06
4641,2.4000000848900527e-06,1.6599999980826396e-05,2.599999788799323e-06
4977,2.0000006770715117e-06,1.7199999092554208e-05,2.499999027349986e-06
5336,2.3000002329354174e-06,1.644999883865239e-05,2.3000011424301192e-06
5722,4.300000000512227e-06,1.4149999515211675e-05,1.999998858082108e-06
6135,2.0000006770715117e-06,1.6399999367422424e-05,2.099999619531445e-06
6579,1.7000002117129043e-06,1.469999915570952e-05,2.5500003175693564e-06
7054,2.200000380980782e-06,1.7449999177188147e-05,2.099999619531445e-06
7564,1.9499993868521415e-06,1.7150000530818943e-05,2.099999619531445e-06
8111,1.999998858082108e-06,1.4200000805431046e-05,2.1000014385208488e-06
8697,2.099999619531445e-06,1.4400000509340316e-05,2.099999619531445e-06
9326,1.8000000636675395e-06,1.5050000001792796e-05,2.099999619531445e-06
10000,2.3000011424301192e-06,1.3899998521083035e-05,2.200000380980782e-06
